model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 GLE Class,2020.0,54999,Automatic,2900.0,Diesel,145.0,32.8,2.9
 E Class,2016.0,18990,Automatic,25000.0,Diesel,30.0,65.7,2.0
 SL CLASS,2019.0,52799,Automatic,1000.0,Petrol,145.0,36.7,3.0
 GLE Class,2017.0,29500,Automatic,34915.0,Diesel,145.0,42.8,3.0
 SL CLASS,2017.0,19889,Automatic,17564.0,Diesel,30.0,70.6,2.1
 E Class,2016.0,19402,Semi-Auto,18217.0,Petrol,160.0,45.6,2.0
 A Class,2016.0,14499,Semi-Auto,26544.0,Petrol,125.0,53.3,1.6
 CL Class,2017.0,18289,Semi-Auto,26900.0,Diesel,125.0,58.9,2.1
 B Class,2019.0,22099,Semi-Auto,13747.0,Petrol,145.0,45.6,1.3
 E Class,2020.0,35990,Semi-Auto,4025.0,Diesel,145.0,53.3,2.0
 C Class,2016.0,14998,Semi-Auto,66732.0,Hybrid,0.0,78.5,2.1
 A Class,2016.0,14806,Manual,30859.0,Diesel,20.0,68.9,1.5
 C Class,2016.0,19498,Semi-Auto,22803.0,Diesel,30.0,61.4,2.1
 C Class,2014.0,12900,Automatic,41000.0,Petrol,160.0,44.8,1.6
 GLC Class,2019.0,31980,Semi-Auto,3999.0,Petrol,145.0,34.0,2.0
 GLE Class,2017.0,29249,Semi-Auto,29261.0,Diesel,145.0,42.8,3.0
 C Class,2015.0,17500,Automatic,45566.0,Diesel,30.0,64.2,2.1
 C Class,2015.0,12000,Automatic,40005.0,Diesel,150.0,53.3,2.1
 A Class,2018.0,14300,Automatic,16347.0,Diesel,150.0,74.3,1.5
 C Class,2016.0,13500,Automatic,93620.0,Diesel,30.0,62.8,2.1
 E Class,2019.0,28349,Automatic,1450.0,Petrol,145.0,39.8,2.0
 GLC Class,2019.0,35495,Semi-Auto,382.0,Diesel,145.0,44.8,2.0
 C Class,2019.0,29650,Automatic,4501.0,Diesel,145.0,64.2,2.0
 C Class,2019.0,29499,Automatic,1676.0,Diesel,145.0,51.4,2.0
 C Class,2017.0,18399,Semi-Auto,23393.0,Diesel,145.0,64.2,2.1
 A Class,2018.0,18200,Automatic,10669.0,Diesel,145.0,65.7,1.5
 C Class,2015.0,11200,Automatic,34799.0,Diesel,145.0,53.3,2.1
 GLC Class,2019.0,32000,Semi-Auto,4219.0,Diesel,145.0,44.8,2.0
 S Class,2019.0,59998,Semi-Auto,10500.0,Petrol,145.0,34.5,3.0
 C Class,2019.0,12900,Manual,3000.0,Diesel,145.0,50.4,1.5
 A Class,2017.0,100124,Automatic,439.0,Petrol,145.0,24.8,4.0
 V Class,2019.0,36980,Semi-Auto,2924.0,Diesel,145.0,44.8,2.2
 E Class,2015.0,16495,Automatic,36400.0,Diesel,125.0,56.5,2.1
 CLS Class,2015.0,20412,Semi-Auto,40270.0,Diesel,160.0,51.4,3.0
 A Class,2019.0,21199,Semi-Auto,4784.0,Petrol,145.0,53.3,1.3
 GLC Class,2018.0,29400,Automatic,8783.0,Diesel,145.0,56.5,2.1
 GLC Class,2018.0,30862,Semi-Auto,22216.0,Diesel,145.0,47.9,3.0
 C Class,2019.0,31980,Semi-Auto,3986.0,Diesel,145.0,61.4,2.0
 CLS Class,2017.0,20000,Semi-Auto,26941.0,Diesel,145.0,57.7,2.1
 C Class,2019.0,33789,Semi-Auto,1000.0,Diesel,145.0,61.4,2.0
 A Class,2019.0,26750,Semi-Auto,4481.0,Diesel,145.0,62.8,1.5
 A Class,2018.0,18220,Automatic,10361.0,Diesel,145.0,68.9,1.5
 CL Class,2015.0,16600,Automatic,19380.0,Diesel,20.0,67.3,2.1
 B Class,2013.0,7395,Manual,70230.0,Diesel,30.0,64.2,1.8
 C Class,2016.0,16499,Automatic,22525.0,Diesel,30.0,65.7,1.6
 C Class,2016.0,25532,Automatic,15129.0,Petrol,160.0,44.1,2.0
 C Class,2015.0,16990,Semi-Auto,11954.0,Diesel,20.0,64.2,2.1
 GLC Class,2016.0,25780,Automatic,34358.0,Diesel,125.0,56.5,2.1
 C Class,2020.0,34500,Semi-Auto,100.0,Diesel,145.0,48.7,2.0
 B Class,2019.0,20200,Semi-Auto,9221.0,Petrol,145.0,45.6,1.3
 GLA Class,2016.0,19000,Semi-Auto,31348.0,Diesel,125.0,56.5,2.1
 GLA Class,2018.0,21999,Semi-Auto,15381.0,Diesel,145.0,56.5,2.1
 C Class,2019.0,26995,Semi-Auto,9.0,Diesel,145.0,60.1,1.6
 GLC Class,2017.0,30999,Semi-Auto,25000.0,Diesel,145.0,56.5,2.1
 E Class,2017.0,22498,Automatic,25827.0,Diesel,145.0,61.4,2.0
 C Class,2019.0,28980,Automatic,2950.0,Petrol,145.0,41.5,2.0
 E Class,2016.0,16890,Semi-Auto,48534.0,Diesel,20.0,72.4,2.0
 C Class,2013.0,13995,Automatic,24000.0,Petrol,160.0,44.8,1.6
 B Class,2019.0,22299,Automatic,12410.0,Petrol,145.0,45.6,1.3
 CL Class,2018.0,19695,Automatic,19193.0,Petrol,145.0,53.3,1.6
 GLA Class,2019.0,18500,Manual,12883.0,Petrol,145.0,40.9,1.6
 GLE Class,2016.0,28980,Semi-Auto,22442.0,Diesel,260.0,42.8,3.0
 GLC Class,2017.0,28998,Semi-Auto,21263.0,Diesel,145.0,56.5,2.1
 S Class,2016.0,25498,Semi-Auto,44072.0,Diesel,200.0,47.9,3.0
 A Class,2019.0,23632,Automatic,9599.0,Petrol,145.0,53.3,1.3
 GLC Class,2018.0,28295,Semi-Auto,15000.0,Diesel,145.0,56.5,2.1
 C Class,2017.0,21481,Semi-Auto,39769.0,Diesel,150.0,58.9,2.1
 C Class,2017.0,13800,Manual,34015.0,Diesel,145.0,70.6,2.1
 GLA Class,2019.0,24995,Semi-Auto,16399.0,Petrol,145.0,42.8,2.0
 SL CLASS,2016.0,36599,Automatic,23735.0,Petrol,235.0,36.7,3.0
 C Class,2016.0,13000,Manual,22886.0,Diesel,20.0,70.6,2.1
 C Class,2017.0,19998,Semi-Auto,23690.0,Diesel,125.0,58.9,2.1
 GLC Class,2016.0,27500,Semi-Auto,18283.0,Diesel,125.0,56.5,2.1
 A Class,2017.0,17490,Automatic,12355.0,Diesel,145.0,68.9,2.1
 C Class,2018.0,23149,Semi-Auto,17000.0,Diesel,145.0,61.4,2.1
 CL Class,2018.0,19589,Semi-Auto,2628.0,Diesel,145.0,67.3,2.1
 E Class,2019.0,25780,Semi-Auto,9853.0,Diesel,145.0,72.4,2.0
 C Class,2019.0,25699,Semi-Auto,13044.0,Diesel,145.0,61.4,2.0
 GLC Class,2016.0,23500,Automatic,20335.0,Diesel,125.0,56.5,2.1
 E Class,2019.0,49499,Semi-Auto,2134.0,Petrol,145.0,31.7,3.0
 E Class,2019.0,24480,Semi-Auto,13370.0,Diesel,145.0,72.4,2.0
 E Class,2015.0,13990,Automatic,34000.0,Diesel,125.0,58.9,2.1
 C Class,2016.0,18999,Semi-Auto,28500.0,Diesel,20.0,64.2,2.1
 C Class,2017.0,23999,Semi-Auto,21212.0,Diesel,150.0,67.3,2.1
 C Class,2017.0,22799,Semi-Auto,11304.0,Diesel,145.0,58.9,2.1
 C Class,2019.0,30995,Automatic,6959.0,Diesel,145.0,57.7,2.0
 C Class,2014.0,11290,Automatic,48000.0,Diesel,145.0,56.5,2.1
 C Class,2019.0,32900,Automatic,3000.0,Diesel,145.0,64.2,2.0
 GLC Class,2019.0,28490,Automatic,15900.0,Petrol,150.0,43.5,2.0
 GLC Class,2018.0,26500,Automatic,6876.0,Diesel,150.0,56.5,2.1
 A Class,2016.0,14180,Manual,20841.0,Petrol,145.0,49.6,1.6
 C Class,2016.0,19690,Semi-Auto,38087.0,Diesel,20.0,67.3,2.1
 GLC Class,2016.0,24995,Semi-Auto,18160.0,Diesel,125.0,56.5,2.1
 GLA Class,2014.0,15600,Semi-Auto,41952.0,Diesel,145.0,55.4,2.1
 E Class,2015.0,19699,Automatic,35995.0,Petrol,235.0,37.7,3.5
 E Class,2017.0,19795,Semi-Auto,18057.0,Diesel,145.0,67.3,2.0
 GLA Class,2015.0,15900,Automatic,50147.0,Diesel,145.0,55.4,2.1
 GLA Class,2017.0,18000,Semi-Auto,41269.0,Diesel,125.0,56.5,2.1
 CL Class,2015.0,16091,Semi-Auto,50500.0,Diesel,20.0,67.3,2.1
 B Class,2016.0,14980,Semi-Auto,12697.0,Diesel,20.0,68.9,2.1
 E Class,2019.0,31980,Semi-Auto,5412.0,Diesel,145.0,70.6,2.0
 A Class,2019.0,18991,Semi-Auto,18576.0,Diesel,150.0,65.7,1.5
 A Class,2017.0,17761,Manual,18275.0,Petrol,145.0,49.6,1.6
 A Class,2020.0,25991,Semi-Auto,5797.0,Diesel,145.0,62.8,1.5
 E Class,2015.0,12437,Automatic,95008.0,Diesel,125.0,56.5,2.1
 SL CLASS,2019.0,79799,Automatic,540.0,Petrol,145.0,28.0,5.5
 C Class,2019.0,28949,Semi-Auto,6565.0,Diesel,145.0,57.7,2.0
 GLA Class,2017.0,17500,Automatic,26550.0,Diesel,30.0,64.2,2.1
 CLS Class,2019.0,38899,Semi-Auto,7937.0,Diesel,145.0,48.7,2.9
 GLE Class,2017.0,26998,Semi-Auto,47120.0,Diesel,200.0,47.9,2.1
 C Class,2019.0,67159,Automatic,883.0,Petrol,145.0,28.0,4.0
 GLC Class,2019.0,34950,Automatic,3100.0,Diesel,145.0,43.5,2.0
 A Class,2017.0,13990,Semi-Auto,17603.0,Petrol,125.0,53.3,1.6
 CLS Class,2017.0,20999,Semi-Auto,30987.0,Diesel,125.0,57.7,2.1
 A Class,2019.0,21530,Semi-Auto,14817.0,Diesel,145.0,67.3,1.5
 C Class,2016.0,15952,Automatic,34327.0,Diesel,20.0,64.2,2.1
 A Class,2017.0,13849,Manual,33770.0,Diesel,20.0,72.4,1.5
 E Class,2017.0,20240,Semi-Auto,17793.0,Diesel,20.0,72.4,2.0
 C Class,2019.0,31999,Semi-Auto,5110.0,Petrol,145.0,42.2,2.0
 C Class,2017.0,23495,Semi-Auto,23033.0,Diesel,30.0,65.7,2.1
 A Class,2014.0,11353,Manual,53520.0,Diesel,30.0,64.2,2.1
 C Class,2019.0,30236,Automatic,7831.0,Petrol,145.0,44.1,2.0
 C Class,2016.0,16990,Semi-Auto,34258.0,Diesel,30.0,64.2,2.1
 C Class,2018.0,25999,Automatic,10913.0,Diesel,145.0,65.7,2.1
 E Class,2019.0,32890,Automatic,5807.0,Diesel,150.0,57.7,2.0
 A Class,2017.0,16898,Manual,24093.0,Diesel,150.0,62.8,2.1
 B Class,2019.0,26490,Automatic,1800.0,Diesel,145.0,58.9,1.5
 E Class,2015.0,23000,Semi-Auto,21780.0,Petrol,240.0,37.7,3.5
 C Class,2019.0,49499,Semi-Auto,1000.0,Petrol,145.0,29.1,3.0
 B Class,2016.0,13977,Automatic,34000.0,Diesel,20.0,68.9,1.5
 C Class,2014.0,13290,Semi-Auto,46078.0,Petrol,125.0,52.3,2.0
 E Class,2018.0,21790,Semi-Auto,20837.0,Diesel,150.0,61.4,2.0
 GLC Class,2017.0,23100,Automatic,36853.0,Diesel,125.0,56.5,2.1
 E Class,2017.0,22151,Semi-Auto,24335.0,Diesel,145.0,61.4,2.0
 CLA Class,2015.0,24990,Automatic,27000.0,Petrol,200.0,39.8,2.0
 B Class,2020.0,25995,Semi-Auto,648.0,Diesel,145.0,55.4,2.0
 GLC Class,2020.0,34987,Semi-Auto,2729.0,Petrol,145.0,34.0,2.0
 C Class,2018.0,25280,Automatic,4944.0,Diesel,145.0,58.9,2.1
 E Class,2017.0,21498,Semi-Auto,20636.0,Diesel,160.0,52.3,3.0
 C Class,2019.0,29349,Semi-Auto,4133.0,Diesel,145.0,57.7,2.0
 A Class,2018.0,20599,Semi-Auto,9956.0,Petrol,145.0,53.3,1.3
 A Class,2013.0,10122,Manual,49517.0,Diesel,20.0,72.4,1.5
 A Class,2018.0,16898,Semi-Auto,16787.0,Petrol,150.0,52.3,1.6
 E Class,2016.0,25412,Semi-Auto,24346.0,Diesel,160.0,51.4,3.0
 CL Class,2014.0,13495,Semi-Auto,35677.0,Diesel,30.0,62.8,2.1
 A Class,2019.0,26980,Semi-Auto,16.0,Petrol,145.0,28.5,2.0
 C Class,2017.0,25599,Semi-Auto,13000.0,Petrol,145.0,42.2,2.0
 CL Class,2016.0,16500,Semi-Auto,56215.0,Diesel,20.0,67.3,2.1
 E Class,2017.0,19000,Automatic,32231.0,Diesel,30.0,65.7,2.0
 E Class,2015.0,15995,Semi-Auto,38000.0,Diesel,125.0,60.1,2.1
 V Class,2015.0,26490,Automatic,48500.0,Diesel,200.0,45.6,2.1
 GLA Class,2016.0,16695,Automatic,26000.0,Diesel,30.0,64.2,2.1
 A Class,2016.0,12995,Manual,28000.0,Diesel,20.0,72.4,1.5
 A Class,2018.0,15732,Automatic,19281.0,Diesel,145.0,74.3,1.5
 GLA Class,2016.0,19799,Semi-Auto,28845.0,Diesel,125.0,56.5,2.1
 CL Class,2014.0,14941,Semi-Auto,66694.0,Diesel,30.0,62.8,1.8
 GLA Class,2019.0,21699,Semi-Auto,8845.0,Diesel,145.0,67.3,2.1
 C Class,2016.0,16998,Semi-Auto,21786.0,Diesel,20.0,65.7,2.1
 A Class,2019.0,26980,Semi-Auto,1987.0,Petrol,145.0,47.9,1.3
 C Class,2019.0,30740,Semi-Auto,7926.0,Diesel,145.0,57.7,2.0
 GLE Class,2020.0,60899,Semi-Auto,1000.0,Diesel,150.0,32.5,2.9
 B Class,2020.0,27798,Automatic,245.0,Diesel,145.0,55.4,2.0
 GLC Class,2019.0,31400,Semi-Auto,7670.0,Diesel,145.0,44.8,2.0
 C Class,2019.0,28290,Automatic,8421.0,Diesel,145.0,64.2,2.0
 A Class,2020.0,25879,Semi-Auto,1000.0,Petrol,145.0,53.3,1.3
 C Class,2017.0,18340,Semi-Auto,38609.0,Diesel,30.0,64.2,2.1
 C Class,2007.0,3790,Automatic,99000.0,Petrol,555.0,28.8,2.5
 C Class,2019.0,33699,Semi-Auto,1604.0,Petrol,145.0,42.2,2.0
 SL CLASS,2018.0,34799,Automatic,212.0,Petrol,145.0,36.2,3.0
 GLA Class,2016.0,18435,Semi-Auto,40882.0,Diesel,125.0,56.5,2.1
 A Class,2015.0,11899,Manual,35325.0,Diesel,20.0,72.4,1.5
 SL CLASS,2017.0,38799,Semi-Auto,14000.0,Petrol,145.0,36.7,3.0
 C Class,2017.0,16995,Automatic,33219.0,Diesel,145.0,64.2,2.1
 E Class,2016.0,17998,Semi-Auto,57036.0,Diesel,30.0,65.7,2.0
 CL Class,2016.0,17999,Manual,32018.0,Diesel,20.0,67.3,2.1
 E Class,2016.0,12990,Automatic,95000.0,Diesel,125.0,56.5,2.1
 C Class,2017.0,19980,Semi-Auto,38515.0,Diesel,30.0,64.2,2.1
 C Class,2017.0,22260,Semi-Auto,27637.0,Diesel,30.0,64.2,2.1
 E Class,2017.0,22499,Semi-Auto,21000.0,Diesel,30.0,65.7,2.0
 C Class,2019.0,27980,Semi-Auto,7460.0,Diesel,145.0,56.5,2.0
 CL Class,2015.0,17399,Automatic,14339.0,Diesel,20.0,62.8,2.1
 A Class,2016.0,69995,Semi-Auto,10104.0,Petrol,325.0,30.1,4.0
 GLE Class,2019.0,59922,Automatic,8005.0,Diesel,145.0,32.5,3.0
 E Class,2019.0,59199,Automatic,6458.0,Petrol,145.0,32.1,4.0
 B Class,2017.0,13500,Manual,34396.0,Diesel,20.0,68.9,1.5
 A Class,2014.0,11980,Manual,40512.0,Petrol,145.0,49.6,1.6
 B Class,2017.0,13999,Manual,19622.0,Diesel,145.0,65.7,2.1
 GLC Class,2016.0,23822,Semi-Auto,58543.0,Diesel,125.0,56.5,2.1
 V Class,2018.0,18990,Manual,38000.0,Diesel,145.0,46.3,2.1
 E Class,2019.0,36395,Automatic,1550.0,Diesel,145.0,57.7,2.0
 C Class,2019.0,23999,Automatic,9323.0,Petrol,145.0,47.1,1.5
 A Class,2018.0,19250,Automatic,12038.0,Diesel,145.0,67.3,1.5
 X-CLASS,2019.0,40990,Automatic,22000.0,Diesel,260.0,31.4,3.0
 C Class,2019.0,26500,Automatic,6902.0,Petrol,145.0,45.6,1.5
 A Class,2018.0,17689,Automatic,11791.0,Diesel,145.0,68.9,2.1
 V Class,2019.0,53581,Automatic,3000.0,Diesel,145.0,37.2,2.0
 GLC Class,2020.0,46990,Semi-Auto,5133.0,Diesel,145.0,40.4,2.0
 C Class,2018.0,17990,Semi-Auto,27000.0,Petrol,145.0,48.7,2.0
 C Class,2017.0,23671,Automatic,12477.0,Diesel,150.0,58.9,2.1
 E Class,2016.0,17475,Automatic,42795.0,Diesel,20.0,72.4,2.0
 C Class,2019.0,42995,Semi-Auto,101.0,Petrol,145.0,29.7,3.0
 C Class,2015.0,14150,Semi-Auto,60597.0,Diesel,20.0,64.2,2.1
 A Class,2013.0,9595,Manual,57000.0,Diesel,20.0,72.4,1.5
 C Class,2019.0,25999,Semi-Auto,5910.0,Petrol,145.0,46.3,1.5
 CLS Class,2016.0,20500,Automatic,16591.0,Diesel,165.0,51.4,3.0
 C Class,2016.0,16499,Semi-Auto,35459.0,Diesel,20.0,64.2,2.1
 C Class,2016.0,15910,Automatic,71991.0,Diesel,30.0,64.2,2.1
 C Class,2004.0,1495,Manual,119000.0,Petrol,300.0,34.5,1.8
 A Class,2016.0,16260,Semi-Auto,23216.0,Diesel,20.0,74.3,1.5
 A Class,2019.0,24999,Semi-Auto,1000.0,Diesel,145.0,56.5,2.0
 A Class,2015.0,12380,Manual,34119.0,Diesel,20.0,70.6,1.5
 A Class,2016.0,16490,Semi-Auto,34856.0,Diesel,20.0,74.3,1.5
 A Class,2014.0,11599,Manual,52598.0,Diesel,20.0,70.6,1.5
 E Class,2015.0,13999,Automatic,46578.0,Diesel,30.0,64.2,2.1
 CLS Class,2016.0,21245,Automatic,46068.0,Diesel,145.0,56.5,2.1
 E Class,2017.0,22150,Automatic,27425.0,Diesel,145.0,61.4,2.0
 C Class,2019.0,30910,Semi-Auto,11810.0,Diesel,145.0,55.4,2.0
 E Class,2019.0,33900,Automatic,3501.0,Diesel,145.0,57.7,2.0
 A Class,2019.0,22950,Automatic,3212.0,Diesel,145.0,62.8,1.5
 GLA Class,2018.0,20792,Semi-Auto,13775.0,Petrol,145.0,50.4,1.6
 E Class,2020.0,49990,Automatic,6000.0,Diesel,145.0,47.1,2.9
 A Class,2020.0,26495,Semi-Auto,1700.0,Diesel,145.0,56.5,2.0
 B Class,2019.0,21980,Semi-Auto,12569.0,Petrol,145.0,45.6,1.3
 C Class,2014.0,16450,Semi-Auto,27032.0,Diesel,30.0,64.2,2.1
 B Class,2016.0,8000,Manual,91890.0,Diesel,20.0,70.6,1.5
 SL CLASS,2001.0,12999,Automatic,122000.0,Petrol,305.0,22.3,5.0
 GLC Class,2019.0,31995,Automatic,100.0,Diesel,145.0,44.8,2.0
 C Class,2019.0,28480,Semi-Auto,13435.0,Diesel,145.0,56.5,2.0
 GLA Class,2016.0,18750,Semi-Auto,28130.0,Diesel,125.0,56.6,2.1
 C Class,2019.0,26949,Automatic,6296.0,Diesel,145.0,60.1,1.6
 A Class,2020.0,25879,Semi-Auto,1000.0,Petrol,145.0,53.3,1.3
 GLC Class,2018.0,27974,Semi-Auto,24199.0,Diesel,145.0,56.5,2.1
 CL Class,2015.0,18649,Semi-Auto,47658.0,Petrol,200.0,42.8,2.0
 SLK,2000.0,1490,Automatic,87000.0,Petrol,265.0,27.2,3.2
 GLE Class,2016.0,26295,Semi-Auto,27595.0,Diesel,260.0,42.8,3.0
 E Class,2015.0,20480,Automatic,41964.0,Diesel,160.0,51.4,3.0
 B Class,2017.0,17513,Automatic,14128.0,Diesel,150.0,68.9,2.1
 C Class,2017.0,27995,Automatic,4495.0,Petrol,145.0,47.1,2.0
 GLA Class,2019.0,22490,Semi-Auto,16389.0,Diesel,145.0,67.3,2.1
 A Class,2006.0,2880,Automatic,66000.0,Diesel,160.0,52.3,2.0
 CLS Class,2019.0,34979,Automatic,3130.0,Diesel,145.0,48.7,2.9
 A Class,2019.0,20990,Manual,2158.0,Petrol,145.0,47.1,1.3
 E Class,2019.0,25980,Automatic,3850.0,Diesel,145.0,67.3,2.0
 A Class,2019.0,25299,Manual,1010.0,Petrol,145.0,47.1,1.3
 C Class,2017.0,22000,Semi-Auto,46512.0,Diesel,145.0,65.7,2.1
 C Class,2016.0,16950,Automatic,24080.0,Petrol,125.0,50.4,2.0
 C Class,2019.0,44399,Semi-Auto,9026.0,Petrol,145.0,29.1,3.0
 C Class,2019.0,19980,Semi-Auto,14307.0,Petrol,145.0,46.3,1.5
 C Class,2020.0,33980,Semi-Auto,16.0,Diesel,145.0,61.4,2.0
 C Class,2018.0,20495,Semi-Auto,24158.0,Diesel,145.0,60.1,2.1
 B Class,2019.0,20700,Automatic,14931.0,Petrol,145.0,45.6,1.3
 E Class,2019.0,45980,Semi-Auto,10491.0,Petrol,145.0,32.5,3.0
 E Class,2017.0,18791,Semi-Auto,52232.0,Diesel,20.0,67.3,2.0
 C Class,2019.0,24433,Automatic,2326.0,Petrol,145.0,46.3,1.5
 E Class,2019.0,24849,Automatic,14222.0,Diesel,145.0,72.4,2.0
 C Class,2009.0,5295,Automatic,112000.0,Diesel,200.0,46.3,2.1
 A Class,2020.0,22990,Manual,2125.0,Petrol,145.0,28.5,1.3
 A Class,2020.0,25990,Manual,1499.0,Petrol,145.0,47.1,1.3
 GLC Class,2019.0,52555,Semi-Auto,2501.0,Petrol,145.0,26.4,3.0
 C Class,2019.0,26299,Semi-Auto,13237.0,Petrol,145.0,47.1,1.5
 A Class,2016.0,12490,Manual,43000.0,Diesel,20.0,68.9,1.5
 A Class,2014.0,11595,Semi-Auto,40000.0,Diesel,20.0,68.9,1.5
 A Class,2017.0,18162,Semi-Auto,14823.0,Diesel,145.0,68.9,2.1
 GL Class,2015.0,28881,Semi-Auto,45000.0,Diesel,325.0,36.2,3.0
 E Class,2017.0,19199,Semi-Auto,33133.0,Diesel,20.0,72.4,2.0
 E Class,2016.0,16950,Automatic,33473.0,Diesel,20.0,72.4,2.0
 CL Class,2017.0,19295,Automatic,39643.0,Diesel,20.0,67.3,2.1
 C Class,2019.0,29699,Semi-Auto,1906.0,Petrol,145.0,47.1,1.5
 C Class,2019.0,23825,Automatic,11135.0,Petrol,145.0,44.1,1.5
 E Class,2019.0,35099,Semi-Auto,2339.0,Diesel,145.0,45.6,2.0
 E Class,2016.0,19004,Automatic,24186.0,Diesel,150.0,54.3,3.0
 C Class,2017.0,15980,Manual,34691.0,Diesel,20.0,68.9,2.1
 CL Class,2019.0,29299,Automatic,999.0,Petrol,145.0,44.1,1.3
 C Class,2019.0,28480,Automatic,8900.0,Diesel,145.0,57.7,2.0
 A Class,2020.0,25879,Semi-Auto,1000.0,Petrol,145.0,53.3,1.3
 A Class,2018.0,21950,Semi-Auto,28000.0,Petrol,145.0,42.8,2.0
 A Class,2013.0,9770,Semi-Auto,66484.0,Petrol,145.0,50.4,1.6
 A Class,2019.0,18499,Semi-Auto,14978.0,Diesel,145.0,65.7,1.5
 E Class,2019.0,40998,Semi-Auto,1255.0,Diesel,145.0,49.6,2.0
 GLC Class,2019.0,34950,Automatic,5700.0,Diesel,145.0,44.8,2.0
 GLC Class,2016.0,22499,Semi-Auto,49822.0,Diesel,125.0,56.5,2.1
 E Class,2020.0,56980,Semi-Auto,3999.0,Petrol,145.0,32.1,3.0
 GLC Class,2018.0,28995,Automatic,15000.0,Diesel,150.0,56.5,2.1
 C Class,2019.0,31609,Semi-Auto,1825.0,Diesel,145.0,64.2,2.0
 C Class,2017.0,23047,Semi-Auto,8143.0,Diesel,145.0,65.7,2.1
 CLS Class,2019.0,42000,Semi-Auto,12000.0,Diesel,145.0,47.9,2.9
 E Class,2019.0,34980,Semi-Auto,7068.0,Diesel,145.0,57.7,2.0
 GLC Class,2019.0,35162,Semi-Auto,4557.0,Diesel,150.0,44.8,2.0
 SLK,2016.0,16480,Semi-Auto,36363.0,Diesel,30.0,70.6,2.0
 C Class,2019.0,23199,Manual,2000.0,Diesel,145.0,65.7,1.6
 C Class,2017.0,20000,Manual,10500.0,Diesel,145.0,62.8,2.1
 GLC Class,2019.0,37980,Semi-Auto,4145.0,Diesel,145.0,40.9,2.0
 B Class,2019.0,16930,Manual,5317.0,Petrol,145.0,49.6,1.6
 B Class,2019.0,23298,Semi-Auto,5512.0,Diesel,145.0,60.1,1.5
 B Class,2019.0,23980,Semi-Auto,2888.0,Diesel,145.0,55.4,2.0
 C Class,2016.0,17000,Automatic,68429.0,Diesel,30.0,64.2,2.1
 C Class,2020.0,31995,Semi-Auto,5000.0,Diesel,145.0,58.9,1.6
 E Class,2013.0,10499,Automatic,44626.0,Diesel,145.0,55.4,2.1
 A Class,2018.0,15800,Manual,22907.0,Petrol,150.0,49.6,1.6
 C Class,2019.0,23849,Semi-Auto,15207.0,Petrol,145.0,46.3,1.5
 C Class,2019.0,30995,Semi-Auto,5999.0,Diesel,145.0,57.7,2.0
 A Class,2020.0,26000,Semi-Auto,4000.0,Petrol,145.0,53.3,1.3
 E Class,2015.0,19298,Semi-Auto,42040.0,Diesel,160.0,51.4,3.0
 E Class,2017.0,20400,Semi-Auto,25069.0,Diesel,145.0,72.4,2.0
 GLC Class,2019.0,28480,Semi-Auto,5981.0,Diesel,145.0,41.5,2.1
 C Class,2019.0,30999,Semi-Auto,5831.0,Petrol,145.0,41.5,2.0
 C Class,2016.0,17590,Automatic,13020.0,Petrol,125.0,50.4,2.0
 C Class,2019.0,27400,Semi-Auto,11723.0,Diesel,145.0,56.5,2.0
 E Class,2019.0,30350,Semi-Auto,3607.0,Diesel,145.0,57.7,2.0
 B Class,2013.0,8998,Semi-Auto,46108.0,Diesel,30.0,64.2,1.8
 E Class,2015.0,15360,Semi-Auto,58248.0,Diesel,125.0,56.5,2.1
 A Class,2016.0,16499,Semi-Auto,21000.0,Diesel,20.0,74.3,1.5
 C Class,2016.0,15675,Manual,39287.0,Diesel,20.0,68.9,2.1
 GLA Class,2019.0,24995,Semi-Auto,7489.0,Petrol,145.0,48.7,1.6
 CL Class,2017.0,19810,Semi-Auto,3857.0,Diesel,20.0,68.9,2.1
 CL Class,2016.0,16480,Manual,46228.0,Petrol,125.0,51.4,1.6
 GLC Class,2017.0,26995,Semi-Auto,33153.0,Diesel,145.0,56.5,2.1
 C Class,2020.0,33995,Semi-Auto,30.0,Diesel,145.0,64.2,2.0
 SLK,2016.0,18980,Semi-Auto,8417.0,Diesel,30.0,70.6,2.0
 CLS Class,2016.0,16990,Automatic,48000.0,Diesel,125.0,57.7,2.1
 S Class,2018.0,53000,Automatic,2001.0,Petrol,145.0,40.9,3.0
 GLC Class,2018.0,38990,Semi-Auto,10638.0,Petrol,145.0,34.0,3.0
 C Class,2019.0,24992,Automatic,8238.0,Petrol,145.0,44.1,1.5
 GLA Class,2019.0,27499,Automatic,999.0,Petrol,145.0,35.8,1.6
 V Class,2018.0,19998,Manual,22058.0,Diesel,145.0,46.3,2.1
 V Class,2018.0,19998,Manual,26973.0,Diesel,145.0,46.3,2.1
 A Class,2013.0,11998,Semi-Auto,54060.0,Diesel,30.0,64.2,2.1
 C Class,2018.0,25748,Automatic,11626.0,Diesel,145.0,67.3,2.1
 GL Class,2015.0,17999,Automatic,24314.0,Diesel,125.0,56.6,2.1
 GLC Class,2019.0,39790,Semi-Auto,5218.0,Diesel,145.0,40.9,2.0
 B Class,2019.0,20490,Manual,4001.0,Petrol,145.0,45.6,1.3
 E Class,2019.0,34899,Semi-Auto,4772.0,Diesel,145.0,70.6,2.0
